num_features,recall,precision,f1_score,false_negatives
1,0.9127529237052162,0.9126032132794861,0.9126713290030966,470
2,0.9237052162613699,0.9233703184193296,0.9234600354687752,411
3,0.9480230183775756,0.9485870832855031,0.9482015820851478,280
4,0.9075552255429739,0.9110431058352942,0.9084346438645389,498
5,0.8798960460367552,0.8874820743684286,0.8815904847693956,647
6,0.8895489140523483,0.897425181853511,0.8911638992904879,595
7,0.8878782253573417,0.8954941395572028,0.8894842078549543,604
8,0.8921477631334694,0.8999638127260248,0.893724748718947,581
9,0.9049563764618526,0.9119339502915862,0.9062931424049198,512
10,0.913681084091331,0.9168583641594011,0.9144709201214586,465
11,0.9146092444774457,0.9178007879381662,0.9153950343038216,460
12,0.9172080935585669,0.9202415605833739,0.9179526795577517,446
13,0.9177649897902358,0.9205916460139666,0.9184742403028633,443
14,0.9172080935585669,0.9190405183626859,0.9177455165979166,446
15,0.9140523482457769,0.9163949973725005,0.9147010271699015,463
16,0.910154074624095,0.9130130206395135,0.9109146489732382,484
17,0.9090402821607574,0.9124425981596981,0.9098961867932653,490
18,0.9114534991646557,0.914785768046156,0.9122821158802196,477
19,0.9084833859290885,0.9116856727337973,0.9093112267994756,493
